sample_id,signer_id,sign_id,policy,frame_count,valid_ratio,shoulder_ratio,left_ratio,right_ratio,both_ratio,selected_hand,track_ratio,max_missing_run,max_internal_gap,path_length,avg_speed,max_jump,amplitude_x,amplitude_y,start_x,start_y,end_x,end_y,mean_separation,separation_range
S002_CSL_bye_0007,S002,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.06451612903225806,0.9354838709677419,0.0,right,0.9354838709677419,2,2,1.7697984701881182,1.014660355565397,0.2560788401859035,0.10593833734755165,0.4637342893946921,-0.759895504773491,-1.1733754056191328,-0.8425474115206183,-0.9218587122406072,nan,nan
S002_CSL_bye_0008,S002,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,2.5231142410357568,1.2839388756560761,0.20256251457303726,0.07746833820712284,0.5064176148004125,-0.7195763482276772,-1.207416853343331,-0.7483598289413728,-0.7009992385429185,nan,nan
S002_CSL_bye_0009,S002,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,2.701005100490371,1.3811245665964151,0.38681597202461443,0.13514464554879635,0.5654825742252645,-0.7984830001916685,-1.101437803201994,-0.7884751590558584,-0.7898564690882319,nan,nan
S002_CSL_bye_0010,S002,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,1.7605588168924393,0.9289608833036719,0.22987900669888697,0.1133332956456492,0.3969601700177404,-0.7100683037063753,-1.1263930592708782,-0.7148224385523401,-0.9634455793311473,nan,nan
S002_CSL_bye_0011,S002,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.03333333333333333,0.9666666666666667,0.0,right,0.9666666666666667,1,0,2.1460615068370408,1.1516538101519647,0.19658642160017845,0.11241542455919484,0.5167904141148789,-0.8121457283672232,-0.8970182855795062,-0.7476689848287179,-0.9701318278861528,nan,nan
S002_CSL_bye_0012,S002,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.3880433844406537,1.698733473728249,0.2876031016502898,0.0921893783493325,0.5525067404028311,-0.8654543382172393,-1.090626548125779,-0.9435956196960701,-0.7901746424083272,nan,nan
S002_CSL_bye_0013,S002,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,4.674699352721052,2.345647061229133,0.37576575569302917,0.09177448585224668,0.738259775513745,-0.8313822684890064,-1.1337106322963661,-0.8944058370920648,-1.0521913184030731,nan,nan
S002_CSL_bye_0014,S002,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.4988233766917833,1.7690592696619627,0.3978421075304071,0.10590587763758619,0.6081991039604603,-0.7920263939102616,-1.115719150895056,-0.8780584463020376,-0.8205009409716666,nan,nan
S002_CSL_bye_0015,S002,CSL_bye,dominant_either,31,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.5055642697528944,1.7580863012336432,0.3479065454562101,0.09370108666095645,0.5215221408156858,-0.7487604264817767,-1.2265982921048877,-0.6899341438271597,-0.7050761512892019,nan,nan
S002_CSL_bye_0016,S002,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.2238171346035194,1.72243871758563,0.3228188708387562,0.09373694421124579,0.6887504682336226,-0.7417632818726202,-1.2471225197171747,-0.79291266593976,-0.5583720514835521,nan,nan
S002_CSL_bye_0017,S002,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.3401425871075814,1.7448734137187107,0.3411522506974809,0.08548975620377752,0.6310974942392558,-0.7726852527683991,-1.2981098269425286,-0.7788410829466179,-1.09487992459531,nan,nan
S002_CSL_bye_0018,S002,CSL_bye,dominant_either,29,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.399532732752281,1.7835141822189562,0.35631011629884507,0.05654961786091517,0.6815357083875087,-0.7634282238358054,-1.1472180057734822,-0.7707897724605227,-0.5069729779054086,nan,nan
S002_CSL_bye_0019,S002,CSL_bye,dominant_either,32,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.3695767605818334,1.6163653285066855,0.30121108947821423,0.09424508710874346,0.5532712820205716,-0.6578583604157685,-1.3136257556005226,-0.7154310379781124,-1.0775729203121032,nan,nan
S002_CSL_bye_0020,S002,CSL_bye,dominant_either,30,0.6111111111111112,1.0,0.0,1.0,0.0,right,1.0,0,0,3.3349830460738827,1.7262722363496972,0.338025798299004,0.16408786548990761,0.6960231046878289,-0.7383501609535531,-1.4260798915763262,-0.87648730806588,-1.3287617370971991,nan,nan
S002_CSL_hello_0006,S002,CSL_hello,dominant_either,31,0.5483870967741935,1.0,0.03225806451612903,0.8064516129032258,0.0,right,0.8064516129032258,4,4,1.0617373904003349,0.7023290782331171,0.27567389475423537,0.08802889039439132,1.3351811627391748,-0.5098445622970431,-0.5269147558886518,-0.5391691770256009,0.5758790020593048,nan,nan
